version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,LAN
info,hometeam,ATL
info,site,ATL01
info,date,1973/09/26
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,gormt101
info,ump1b,steld901
info,ump2b,dalej901
info,ump3b,davis901
info,scorer,"35"
info,translator,"Comly"
info,inputter,"Comly"
info,inputtime,1996/07/14 9:10PM
info,howscored,park
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,night
info,timeofgame,171
info,attendance,5571
info,wp,hougc001
info,lp,harrr102
info,save,rau-d101
info,gwrbi,
start,russb001,"Bill Russell",0,1,6
start,joshv101,"Von Joshua",0,2,7
start,pacit001,"Tom Paciorek",0,3,8
start,garvs001,"Steve Garvey",0,4,3
start,buckb001,"Bill Buckner",0,5,9
start,yeags001,"Steve Yeager",0,6,2
start,roysj001,"Jerry Royster",0,7,5
start,lacyl001,"Leon Lacy",0,8,4
start,downa101,"Al Downing",0,9,1
start,perem101,"Marty Perez",1,1,6
start,lum-m101,"Mike Lum",1,2,9
start,evand001,"Darrell Evans",1,3,5
start,aaroh101,"Hank Aaron",1,4,7
start,baked002,"Dusty Baker",1,5,8
start,johnd105,"Dave Johnson",1,6,4
start,dietd101,"Dick Dietz",1,7,3
start,casap101,"Paul Casanova",1,8,2
start,schur101,"Ron Schueler",1,9,1
play,1,0,russb001,??,,63
play,1,0,joshv101,??,,K
play,1,0,pacit001,??,,K
play,1,1,perem101,??,,S9
play,1,1,lum-m101,??,,9/FL
play,1,1,evand001,??,,S9.1-3
play,1,1,aaroh101,??,,7/L/SF.3-H
play,1,1,baked002,??,,W.1-2
play,1,1,johnd105,??,,S7.2-H;1-3(E7)
play,1,1,dietd101,??,,W.1-2
play,1,1,casap101,??,,6/P
play,2,0,garvs001,??,,S8
play,2,0,buckb001,??,,8
play,2,0,yeags001,??,,D7.1-3
play,2,0,roysj001,??,,S7.3-H;2-H
play,2,0,lacyl001,??,,SB2#
play,2,0,lacyl001,??,,K
play,2,0,downa101,??,,K
play,2,1,schur101,??,,63
play,2,1,perem101,??,,W
play,2,1,lum-m101,??,,S8.1-3
play,2,1,evand001,??,,K
play,2,1,aaroh101,??,,S7.3-H;1-2
play,2,1,baked002,??,,S8.2-H;1-2
play,2,1,johnd105,??,,NP
sub,shang101,"Greg Shanahan",0,9,1
play,2,1,johnd105,??,,3/FL
play,3,0,russb001,??,,4/P
play,3,0,joshv101,??,,4/L
play,3,0,pacit001,??,,53
play,3,1,dietd101,??,,D8
play,3,1,casap101,??,,63
play,3,1,schur101,??,,S.2-3
play,3,1,perem101,??,,S5.3-H;1-2
play,3,1,lum-m101,??,,4/P
play,3,1,evand001,??,,S9.2-H;1-3
play,3,1,aaroh101,??,,7/L
