advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,??,1,,,,,0,0,,schur101,1,0,,russb001,0,
,??,1,,,,,1,0,,schur101,1,0,joshv101 strikes out. ,joshv101,0,
,??,1,,,,,2,0,,schur101,1,0,pacit001 strikes out. ,pacit001,0,
,??,1,perem101,,,,3,0,,downa101,0,0,perem101 singles. ,perem101,1,
,??,1,perem101,,,,4,0,,downa101,1,0,,lum-m101,1,
perem101 to 3B. ,??,1,evand001,,perem101,,5,0,,downa101,0,0,evand001 singles. ,evand001,1,
perem101 scores. ,??,1,evand001,,,,6,0,,downa101,1,1,aaroh101 hits sacrifice fly. ,aaroh101,1,L
evand001 to 2B. ,??,1,baked002,evand001,,,7,0,,downa101,0,0,baked002 walks. ,baked002,1,
evand001 scores. baked002 to 3B. ,??,1,johnd105,,baked002,,8,0,,downa101,0,1,johnd105 singles. ,johnd105,1,
johnd105 to 2B. ,??,1,dietd101,johnd105,baked002,,9,0,,downa101,0,0,dietd101 walks. ,dietd101,1,
,??,1,dietd101,johnd105,baked002,,10,0,,downa101,1,0,casap101 pops out. ,casap101,1,P
,??,2,garvs001,,,,11,0,,schur101,0,0,garvs001 singles. ,garvs001,0,
,??,2,garvs001,,,,12,0,,schur101,1,0,,buckb001,0,
garvs001 to 3B. ,??,2,,yeags001,garvs001,,13,0,,schur101,0,0,yeags001 doubles. ,yeags001,0,
garvs001 scores. yeags001 scores. ,??,2,roysj001,,,,14,0,,schur101,0,2,roysj001 singles. ,roysj001,0,
,??,2,,roysj001,,lacyl001,15,0,,schur101,0,0,roysj001 steals 2B. ,lacyl001,0,
,??,2,,roysj001,,,16,0,,schur101,1,0,lacyl001 strikes out. ,lacyl001,0,
,??,2,,roysj001,,,17,0,,schur101,1,0,downa101 strikes out. ,downa101,0,
,??,2,,,,,18,0,,downa101,1,0,,schur101,1,
,??,2,perem101,,,,19,0,,downa101,0,0,perem101 walks. ,perem101,1,
perem101 to 3B. ,??,2,lum-m101,,perem101,,20,0,,downa101,0,0,lum-m101 singles. ,lum-m101,1,
,??,2,lum-m101,,perem101,,21,0,,downa101,1,0,evand001 strikes out. ,evand001,1,
perem101 scores. lum-m101 to 2B. ,??,2,aaroh101,lum-m101,,,22,0,,downa101,0,1,aaroh101 singles. ,aaroh101,1,
lum-m101 scores. aaroh101 to 2B. ,??,2,baked002,aaroh101,,,23,0,,downa101,0,1,baked002 singles. ,baked002,1,
,??,2,baked002,aaroh101,,,25,0,,shang101,1,0,,johnd105,1,
,??,3,,,,,26,0,,schur101,1,0,russb001 pops out. ,russb001,0,P
,??,3,,,,,27,0,,schur101,1,0,joshv101 lines out. ,joshv101,0,L
,??,3,,,,,28,0,,schur101,1,0,,pacit001,0,
,??,3,,dietd101,,,29,0,,shang101,0,0,dietd101 doubles. ,dietd101,1,
,??,3,,dietd101,,,30,0,,shang101,1,0,,casap101,1,
dietd101 to 3B. ,??,3,schur101,,dietd101,,31,0,,shang101,0,0,schur101 singles. ,schur101,1,
dietd101 scores. schur101 to 2B. ,??,3,perem101,schur101,,,32,0,,shang101,0,1,perem101 singles. ,perem101,1,
,??,3,perem101,schur101,,,33,0,,shang101,1,0,lum-m101 pops out. ,lum-m101,1,P
schur101 scores. perem101 to 3B. ,??,3,evand001,,perem101,,34,0,,shang101,0,1,evand001 singles. ,evand001,1,
,??,3,evand001,,perem101,,35,0,,shang101,1,0,aaroh101 lines out. ,aaroh101,1,L
,??,4,garvs001,,,,36,0,,schur101,0,0,garvs001 singles. ,garvs001,0,
garvs001 out. ,??,4,buckb001,,,,37,0,,schur101,1,0,buckb001 reaches on fielder's choice. ,buckb001,0,
,??,4,buckb001,,,,38,0,,schur101,1,0,yeags001 lines out. ,yeags001,0,L
,??,4,buckb001,,,,39,0,,schur101,1,0,roysj001 strikes out. ,roysj001,0,
,??,4,,,,,40,0,,shang101,1,0,,baked002,1,
,??,4,,,,,41,0,,shang101,1,0,,johnd105,1,
,??,4,dietd101,,,,42,0,,shang101,0,0,dietd101 walks. ,dietd101,1,
dietd101 to 2B. ,??,4,casap101,dietd101,,,43,0,,shang101,0,0,casap101 walks. ,casap101,1,
,??,4,casap101,dietd101,,,44,0,,shang101,1,0,,schur101,1,
,??,5,,lacyl001,,,45,0,,schur101,0,0,lacyl001 doubles. ,lacyl001,0,
lacyl001 scores. ,??,5,daviw102,,,,47,0,,schur101,0,1,daviw102 singles. ,daviw102,0,
,??,5,,,,,48,0,,schur101,2,0,Double Play. ,russb001,0,
,??,5,joshv101,,,,49,0,,schur101,0,0,joshv101 singles. ,joshv101,0,
,??,5,,joshv101,,pacit001,50,0,,schur101,0,0,joshv101 steals 2B. ,pacit001,0,
joshv101 to 3B. ,??,5,,,joshv101,pacit001,51,0,,schur101,0,0,Balk. ,pacit001,0,
